"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"2187_797.08_2.7",2187,797.083131945216,2.7359319,"C33H26O22"
"2188_984.13_2.7",2188,984.131079018597,2.7359319,NA
"2189_359.13_2.7",2189,359.1316549359,2.7361822,"C20H22O4S"
"219_364.16_0.6",219,364.160088746829,0.60043013,"C15H22O9"
"2190_303.05_2.7",2190,303.050276311374,2.736766,"C15H12O8"
"2191_482.26_2.7",2191,482.260392043697,2.7411797,"C21H36O11"
"2192_376.16_2.7",2192,376.160369632922,2.7416477,"C16H22O9"
"2193_934.36_2.7",2193,934.355590334509,2.7420564,"C40H55N9O15S"
"2194_563.21_2.7",2194,563.210095379059,2.745226,"C26H36O12"
"2195_185.67_2.7",2195,185.668888917845,2.7452905,NA
"2196_187.16_2.7",2196,187.164539613728,2.7452905,"C12H20BNO"
"2197_401.35_2.7",2197,401.352916605096,2.749017,"C26H46N2O2"
"2198_357.15_2.8",2198,357.151938254528,2.750749,"C15H26O8"
"2199_169.65_2.8",2199,169.646054917756,2.7513478,NA
"22_198.12_0.4",22,198.123990288315,0.42101005,"C9H12N2O2"
"220_144.1_0.6",220,144.102091170214,0.6015287,"C7H10O2"
"2200_321.26_2.8",2200,321.257894539234,2.7513478,"C24H34O"
"2201_338.28_2.8",2201,338.284313423969,2.7513478,"C24H37NO"
"2202_325.09_2.8",2202,325.092107978807,2.7531815,"C15H18O9"
"2203_595.16_2.8",2203,595.164603331872,2.753932,"C27H32O16"
"2204_454.23_2.8",2204,454.234298685885,2.7542078,"C25H28N2O5"
"2205_237.16_2.8",2205,237.16404044345,2.7553444,"C18H22O"
"2206_769.09_2.8",2206,769.088608502089,2.756476,"C34H26O22"
"2207_956.14_2.8",2207,956.136437790586,2.756476,"C41H30O26"
"2208_201.18_2.8",2208,201.180395095368,2.7569025,"C13H22BNO"
"2209_225.16_2.8",2209,225.164102956771,2.7569025,"C17H22O"
"221_684.26_0.6",221,684.255896842634,0.6034825,"C24H42O21"
"2210_169.12_2.8",2210,169.122553674446,2.75767,"C10H16O2"
"2211_339.27_2.8",2211,339.268922724499,2.7580907,"C24H34O"
"2212_663.15_2.8",2212,663.153802460934,2.7584348,"C28H32O17"
"2213_449.11_2.8",2213,449.108663915121,2.7584715,"C21H20O11"
"2214_641.17_2.8",2214,641.172538405028,2.7598183,"C28H32O17"
"2215_209.18_2.8",2215,209.179617862037,2.7610571,NA
"2216_185.17_2.8",2216,185.167223074229,2.761217,NA
"2217_352.3_2.8",2217,352.300127459118,2.761217,"C25H39NO"
"2218_433.11_2.8",2218,433.112812437467,2.7618463,"C21H22O11"
"2219_484.24_2.8",2219,484.244158029893,2.7621472,"C26H30N2O6"
"222_846.31_0.6",222,846.30831682144,0.6034825,"C30H52O26"
"2220_867.21_2.8",2220,867.2138126609,2.7621562,"C45H40O19"
"2221_364.2_2.8",2221,364.196639882634,2.7644608,"C16H26O8"
"2222_134.61_2.8",2222,134.606943480767,2.7647898,NA
"2223_141.61_2.8",2223,141.614707392676,2.7647898,NA
"2224_176.65_2.8",2224,176.653993453719,2.7647898,NA
"2225_185.66_2.8",2225,185.65924383366,2.765978,NA
"2226_950.35_2.8",2226,950.34980422258,2.7659018,"C36H61N3O27"
"2227_248.2_2.8",2227,248.201089150691,2.765978,"C16H22O"
"2228_369.15_2.8",2228,369.152271659897,2.7667115,"C16H26O8"
"2229_328.15_2.8",2229,328.154440476049,2.7676551,"C19H21NO4"
"223_851.26_0.6",223,851.263984520297,0.6034825,"C30H52O26"
"2230_361.09_2.8",2230,361.089386461295,2.768554,"C16H18O8"
"2231_369.33_2.8",2231,369.326661733705,2.7691112,"C25H42N2O"
